-6 -8 0,6
-6 -7 0,666666666666667
-6 -6 0,75
-6 -5 0,857142857142857
-6 -4 1
-6 -3 1,2
-6 -2 1,5
-6 -1 2
-6 0 3
-6 1 6
-6 2 -∞
-6 3 -6
-6 4 -3
-6 5 -2
-6 6 -1,5
-6 7 -1,2
-6 8 -1
-5 -8 0,5
-5 -7 0,555555555555556
-5 -6 0,625
-5 -5 0,714285714285714
-5 -4 0,833333333333333
-5 -3 1
-5 -2 1,25
-5 -1 1,66666666666667
-5 0 2,5
-5 1 5
-5 2 -∞
-5 3 -5
-5 4 -2,5
-5 5 -1,66666666666667
-5 6 -1,25
-5 7 -1
-5 8 -0,833333333333333
-4 -8 0,4
-4 -7 0,444444444444444
-4 -6 0,5
-4 -5 0,571428571428571
-4 -4 0,666666666666667
-4 -3 0,8
-4 -2 1
-4 -1 1,33333333333333
-4 0 2
-4 1 4
-4 2 -∞
-4 3 -4
-4 4 -2
-4 5 -1,33333333333333
-4 6 -1
-4 7 -0,8
-4 8 -0,666666666666667
-3 -8 0,3
-3 -7 0,333333333333333
-3 -6 0,375
-3 -5 0,428571428571429
-3 -4 0,5
-3 -3 0,6
-3 -2 0,75
-3 -1 1
-3 0 1,5
-3 1 3
-3 2 -∞
-3 3 -3
-3 4 -1,5
-3 5 -1
-3 6 -0,75
-3 7 -0,6
-3 8 -0,5
-2 -8 0,2
-2 -7 0,222222222222222
-2 -6 0,25
-2 -5 0,285714285714286
-2 -4 0,333333333333333
-2 -3 0,4
-2 -2 0,5
-2 -1 0,666666666666667
-2 0 1
-2 1 2
-2 2 -∞
-2 3 -2
-2 4 -1
-2 5 -0,666666666666667
-2 6 -0,5
-2 7 -0,4
-2 8 -0,333333333333333
-1 -8 0,1
-1 -7 0,111111111111111
-1 -6 0,125
-1 -5 0,142857142857143
-1 -4 0,166666666666667
-1 -3 0,2
-1 -2 0,25
-1 -1 0,333333333333333
-1 0 0,5
-1 1 1
-1 2 -∞
-1 3 -1
-1 4 -0,5
-1 5 -0,333333333333333
-1 6 -0,25
-1 7 -0,2
-1 8 -0,166666666666667
0 -8 0
0 -7 0
0 -6 0
0 -5 0
0 -4 0
0 -3 0
0 -2 0
0 -1 0
0 0 0
0 1 0
0 2 не число
0 3 0
0 4 0
0 5 0
0 6 0
0 7 0
0 8 0
